subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,source_reference
Demography,Population Structure,easy,A population pyramid displays a population broken down by which two characteristics?,Income and education,Age and sex,Religion and language,Urban and rural residence,B,"A population pyramid is a back-to-back bar chart showing the number of people in each age group, split by sex (males on one side, females on the other), so it reveals the age–sex structure at a glance. Income and education (A) and religion and language (C) are social characteristics not shown on a standard pyramid, and urban–rural residence (D) is a separate geographic breakdown.",Public-health demography (foundations)
Demography,Child Mortality,easy,"The infant mortality rate measures deaths among children in which age range, per 1,000 live births?",Under 1 year,Under 5 years,Under 10 years,Ages 1 to 4 years,A,"The infant mortality rate counts deaths of infants before their first birthday (under 1 year) per 1,000 live births in a year. Under-5 deaths (B) are captured by the separate under-five mortality rate, and the 1–4 year band (D) describes child mortality after infancy. Under 10 years (C) is not a standard demographic indicator.",CDHS 2021–22
Demography,Fertility Trends,easy,The total fertility rate (TFR) is best described as the average number of children:,Born in a country in a single year,A woman would have over her reproductive lifetime at current rates,Living in an average household,Who survive to age five,B,"TFR estimates the average number of children a woman would bear over her lifetime if she experienced the current age-specific fertility rates, so it is a per-woman lifetime measure. It is not an annual national count (A) or an average household size (C), and survival to age five (D) is a child-mortality concept rather than a fertility measure.",Public-health demography (foundations)
Demography,Fertility Trends,medium,"According to the Cambodia Demographic and Health Survey (CDHS) 2021–22, the country's total fertility rate was reported as approximately:",1.5,2.7,4.0,5.2,B,"The CDHS 2021–22 reported a TFR of approximately 2.7 children per woman, reflecting a long decline from much higher historical levels. A value near 4.0 (C) or 5.2 (D) would reflect Cambodia decades earlier, not the 2021–22 survey, while 1.5 (A) is well below replacement and not what the survey reported. The stem names the source and year so the comparison is fair.",CDHS 2021–22
Demography,Maternal Health Metrics,hard,"According to the CDHS 2021–22, Cambodia's maternal mortality ratio was reported as roughly which value (per 100,000 live births)?",45,154,350,600,B,"The CDHS 2021–22 reported a maternal mortality ratio of about 154 per 100,000 live births. Modeled WHO/World Bank estimates for later years differ, which is why the stem fixes a single source and year rather than mixing them. Values around 350–600 (C, D) reflect Cambodia in earlier decades, and 45 (A) is far below the survey figure.",CDHS 2021–22
Demography,Dependency Ratios,medium,The age dependency ratio compares the number of dependents to which group?,The total population,The working-age population (about 15–64 years),The number of households,The number of births each year,B,"The age dependency ratio expresses the number of dependents (typically those younger than 15 and older than 64) relative to the working-age population, about 15–64 years. Comparing dependents to the total population (A) or to households (C) would not isolate the support burden on workers, and annual births (D) is unrelated to the ratio's denominator.",Public-health demography (foundations)
Demography,Demographic Dividend,medium,A country is positioned to gain a 'demographic dividend' mainly when:,The elderly population becomes the largest group,A large share of the population is of working age with relatively few dependents,The birth rate suddenly rises sharply,Migration stops completely,B,"A demographic dividend is the potential economic boost when a large share of the population is of working age and the dependency burden is comparatively low, provided there is investment in jobs, health, and education. A dominant elderly group (A) raises dependency, a sudden birth-rate rise (C) increases young dependents, and halting migration (D) does not define the dividend.",Public-health demography (foundations)
Demography,Maternal Health Metrics,medium,"Over recent decades, the trend in facility-based (institutional) deliveries in Cambodia has generally been one of:",Steady increase,Steady decrease,No measurable change,Complete elimination of all home births,A,"National survey data describe a steady rise in the proportion of births taking place in health facilities, alongside falling maternal and child mortality. A decrease (B) or no change (C) would contradict the documented improvement, and 'complete elimination of all home births' (D) overstates the trend, since some home births still occur even as facility delivery becomes the norm.",CDHS 2021–22
Demography,Rural Urban Equity,hard,A province shows higher child mortality and fewer skilled birth attendants than the capital. Which concept best frames this pattern for health planning?,Herd immunity,Health inequity between rural and urban areas,Demographic dividend,Case fatality rate,B,"Systematic, avoidable differences in outcomes and access between rural provinces and the capital are described as health inequity, linked to where people live and what services they can reach. Herd immunity (A) concerns infectious-disease protection thresholds, the demographic dividend (C) is an age-structure opportunity, and case fatality rate (D) measures deaths among diagnosed cases — none of which frame geographic access gaps.",Public-health demography (foundations)
Demography,Public Health Planning,hard,A health district reviews its population pyramid and sees a very wide base (many young children). This should most directly prompt investment in:,Geriatric long-term care wards,"Maternal, newborn, and child health services",Occupational pension schemes,Adult cardiac surgery centres,B,"A wide pyramid base signals a large young population and many women of reproductive age, so the most directly indicated investment is in maternal, newborn, and child health services. Geriatric care (A) and pensions (C) match an ageing population with a narrow base, and specialised adult cardiac surgery (D) does not follow directly from a young age structure.",Public-health demography (foundations)
